city,population_2020,state,population_state,GDP_2020(billion USD),urban_area_km2,oe,vkt_public_transport,rho_r,rho_i,rho_ratio,road_length_km
surat,4946274,GUJARAT,70846459,104.089288704,318.80616272950004,3.2669337748438347,156836084.364834,16.645154234279385,170.17550581678205,0.0978116924312259,5306.5777494713
thiruvananthapuram,2178452,KERALA,42361297,19.028475904,213.26400876746564,3.5628814517375207,88695000.00000001,13.334972498222292,81.27953750930513,0.1640630951756543,2843.869691774792
thoothukkudi,408570,TAMIL NADU,81532082,2.654692608,131.42981473599139,3.2047499918510773,48275656.20740275,11.704703300396329,79.8829399637349,0.1465231913811635,1538.3469863108362
tiruchirappalli,1153287,TAMIL NADU,81532082,10.610655232,152.7444595144239,3.3056040630121117,52236224.05922054,12.44981988750902,97.4699838365928,0.1277297830312662,1901.6410097694911
tiruppur,835750,TAMIL NADU,81532082,6.694953472,119.51331140285052,3.211231174872637,51116861.56133555,14.325394388346618,104.81677608090456,0.1366708166762286,1712.0753205031167
udaipur,526889,RAJASTHAN,80579763,2.018247936,61.38054553947258,3.4681418924025937,49341504.78783978,17.37448278842145,162.494482776891,0.1069235243652983,1066.4552320194853
ujjain,606282,MADHYA PRADESH,84567635,1.571333376,152.1873945443984,3.4167887731801736,42007275.27889644,9.425378046897888,76.85919083520137,0.1226317626360058,1434.4237275533596
vadodara,1963378,GUJARAT,70846459,20.715317248,160.3647462719114,3.300936583126875,56586461.86269192,22.359897436705392,245.7148526471481,0.090999372629764,3585.739279103222
varanashi,1971210,UTTAR PRADESH,232192037,8.79833088,69.34144977741374,3.3149552063747163,59130000.0,21.619525409888443,216.99863571213052,0.0996297757307968,1499.1292354212997
vijaywada,1065140,ANDHRA PRADESH,53387780,7.8171392,61.50196729758537,3.296770260274663,47947427.94416767,17.9987108471821,144.35310592655725,0.1246853036632224,1106.9561259220884
vishakhapatnam,2188703,ANDHRA PRADESH,53387780,23.921035264,629.3119640349062,3.418801648203708,24710433.2710329,9.47984340294777,71.44787096007923,0.1326819578465051,5965.77887065241
warangal,926825,TELANGANA,38968605,6.49259776,406.92741049144274,3.4487186244159163,20531258.921611663,8.434492582261122,58.01526117763564,0.1453840319090478,3432.2262253088
